vehicle-Id,activity,job-Id,arrTime,endTime
ASY-72-1_1_3,start,,undef,0.0
ASY-72-1_1_3,delivery,5786_0_B1,78.23688666666666,79.26583403526666
ASY-72-1_1_3,delivery,8063_0_B1,79.27905403526667,79.44458035130667
ASY-72-1_1_3,delivery,9968_0_B1,79.48623368464,79.57794421024
ASY-72-1_1_3,delivery,9424_0_B1,79.65029754357334,79.69503438657334
ASY-72-1_1_3,delivery,9425_0_B1,79.69988105324,80.74672315904
ASY-72-1_1_3,delivery,8084_0_B1,80.86704315904001,80.88941157952002
ASY-72-1_1_3,delivery,5421_0_B1,80.92687157952001,80.95595052696001
ASY-72-1_1_3,delivery,8082_0_B1,80.95595052696001,81.35634526416001
ASY-72-1_1_3,delivery,8083_0_B1,81.38497193082668,81.43194561546667
ASY-72-1_1_3,delivery,3485_0_B1,81.4974189488,84.28228736996
ASY-72-1_1_3,delivery,3009_0_B1,84.30713403662666,84.35858140454667
ASY-72-1_1_3,delivery,2635_0_B1,84.39765473788,85.2230494744
ASY-72-1_1_3,delivery,9557_0_B1,85.33238280773334,85.38159333401335
ASY-72-1_1_3,delivery,4330_0_B1,85.40069333401334,86.48556175585334
ASY-72-1_1_3,end,,86.48556175585334,undef
ASY-72-1_1_4,start,,undef,0
ASY-72-1_1_4,delivery,6510_0_B1,102.02246,103.28180210443999
ASY-72-1_1_4,delivery,5586_0_B1,103.48742877110665,104.42690245574666
ASY-72-1_1_4,delivery,5806_0_B1,104.56716912241332,104.88032701729333
ASY-72-1_1_4,delivery,4686_0_B1,104.93212035062666,105.04172561342666
ASY-72-1_1_4,delivery,6704_0_B1,105.10578561342666,105.41894350830667
ASY-72-1_1_4,delivery,6722_0_B1,105.44339017497333,105.45681122685333
ASY-72-1_1_4,delivery,4668_0_B1,105.49533122685334,106.08138385893334
ASY-72-1_1_4,delivery,4393_0_B1,106.10082385893334,106.17911333265334
ASY-72-1_1_4,delivery,10092_0_B1,106.19701333265334,106.39832912309335
ASY-72-1_1_4,delivery,6684_0_B1,106.40600912309334,106.66100912309334
ASY-72-1_1_4,delivery,6702_0_B1,106.68220245642667,106.72470245574667
ASY-72-1_1_4,delivery,10115_0_B1,106.77464912241334,106.79925438657334
ASY-72-1_1_4,delivery,9646_0_B1,106.89559438657334,107.24901543913333
ASY-72-1_1_4,delivery,4518_0_B1,107.33207543913333,107.77944386097333
ASY-72-1_1_4,delivery,6106_0_B1,107.90291719430667,110.65423298474667
ASY-72-1_1_4,end,,110.65423298474667,undef
ASY-72-1_1_5,start,,undef,0
ASY-72-1_1_5,delivery,8202_0_B1,126.13190666666667,126.17216982434667
ASY-72-1_1_5,delivery,8203_0_B1,126.17758982434667,126.19101087622667
ASY-72-1_1_5,delivery,8243_0_B1,126.20989754289333,126.24792385893333
ASY-72-1_1_5,delivery,9073_0_B1,126.41386385893334,126.43623227941335
ASY-72-1_1_5,delivery,5422_0_B1,126.48959894608001,126.51644105188001
ASY-72-1_1_5,delivery,2634_0_B1,126.53630771854668,127.46236034926667
ASY-72-1_1_5,delivery,5441_0_B1,127.47672701593333,127.62659543641334
ASY-72-1_1_5,delivery,3748_0_B1,127.64706210308,127.92666736724
ASY-72-1_1_5,delivery,3749_0_B1,127.93760736724,128.00247578908
ASY-72-1_1_5,delivery,4325_0_B1,128.03858245574665,128.10345087758665
ASY-72-1_1_5,delivery,10107_0_B1,128.12433087758666,128.13327824618665
ASY-72-1_1_5,delivery,948_0_B1,128.16523157951997,131.40865263275998
ASY-72-1_1_5,delivery,10010_0_B1,131.44663929942664,131.50703403594665
ASY-72-1_1_5,delivery,1711_0_B1,131.51142736927997,132.61866421159996
ASY-72-1_1_5,delivery,9565_0_B1,132.77867087826664,132.82564456290663
ASY-72-1_1_5,delivery,4590_0_B1,132.86698456290662,134.31422140590664
ASY-72-1_1_5,delivery,6167_0_B1,134.54136140590663,134.67780877450662
ASY-72-1_1_5,end,,134.67780877450662,undef
ASY-72-1_1_6,start,,undef,0
ASY-72-1_1_6,delivery,1257_0_B1,150.18397333333334,150.31371017497335
ASY-72-1_1_6,delivery,9342_0_B1,150.33342350830668,150.37144982434668
ASY-72-1_1_6,delivery,9343_0_B1,150.37249649101335,150.37920701797336
ASY-72-1_1_6,delivery,2835_0_B1,150.42916035130668,150.9592919301467
ASY-72-1_1_6,delivery,769_0_B1,151.02508526348004,151.11008526416003
ASY-72-1_1_6,delivery,2210_0_B1,151.16408526416004,151.18869052832002
ASY-72-1_1_6,delivery,2209_0_B1,151.20537719498668,151.24116666938667
ASY-72-1_1_6,delivery,2208_0_B1,151.25036000272002,151.28614947712
